[Sun, 22 Jan 2023 15:18:12 GMT] 	 ::ffff:127.0.0.1 	 GET 	 /api/v1/auth 	 HTTP/1.1 	 200 	 -
[Sun, 22 Jan 2023 15:18:33 GMT] 	 ::ffff:127.0.0.1 	 GET 	 /api/v1/user 	 HTTP/1.1 	 200 	 -
[Sun, 22 Jan 2023 15:21:48 GMT] 	 ::ffff:127.0.0.1 	 GET 	 /api/v1/user 	 HTTP/1.1 	 200 	 -
[Sun, 22 Jan 2023 15:48:44 GMT] 	 ::ffff:127.0.0.1 	 PATCH 	 /api/v1/user 	 HTTP/1.1 	 403 	 -
[Sun, 22 Jan 2023 15:49:17 GMT] 	 ::ffff:127.0.0.1 	 PATCH 	 /api/v1/user 	 HTTP/1.1 	 403 	 -
[Sun, 22 Jan 2023 15:49:50 GMT] 	 ::ffff:127.0.0.1 	 GET 	 /api/v1/auth 	 HTTP/1.1 	 200 	 -
[Sun, 22 Jan 2023 15:50:02 GMT] 	 ::ffff:127.0.0.1 	 PATCH 	 /api/v1/user 	 HTTP/1.1 	 200 	 -
[Sun, 22 Jan 2023 15:51:07 GMT] 	 ::ffff:127.0.0.1 	 PATCH 	 /api/v1/user 	 HTTP/1.1 	 500 	 -
[Sun, 22 Jan 2023 15:52:37 GMT] 	 ::ffff:127.0.0.1 	 GET 	 /api/v1/auth 	 HTTP/1.1 	 200 	 -
[Sun, 22 Jan 2023 15:53:31 GMT] 	 ::ffff:127.0.0.1 	 DELETE 	 /api/v1/user 	 HTTP/1.1 	 200 	 -
[Sun, 22 Jan 2023 16:25:03 GMT] 	 ::ffff:127.0.0.1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 200 	 -
[Sun, 22 Jan 2023 16:26:09 GMT] 	 ::ffff:127.0.0.1 	 GET 	 /api/v1/auth 	 HTTP/1.1 	 200 	 -
[Sun, 22 Jan 2023 16:28:10 GMT] 	 ::ffff:127.0.0.1 	 GET 	 /api/v1/auth 	 HTTP/1.1 	 200 	 -
[Sun, 22 Jan 2023 16:28:35 GMT] 	 ::ffff:127.0.0.1 	 GET 	 /api/v1/auth 	 HTTP/1.1 	 200 	 -
[Sun, 22 Jan 2023 16:28:47 GMT] 	 ::ffff:127.0.0.1 	 GET 	 /api/v1/auth 	 HTTP/1.1 	 200 	 -
[Sun, 22 Jan 2023 16:31:25 GMT] 	 ::ffff:127.0.0.1 	 GET 	 /api/v1/auth 	 HTTP/1.1 	 200 	 -
[Sun, 22 Jan 2023 16:38:53 GMT] 	 ::ffff:127.0.0.1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 200 	 -
[Sun, 22 Jan 2023 16:43:38 GMT] 	 ::ffff:127.0.0.1 	 GET 	 /api/v1/auth 	 HTTP/1.1 	 200 	 -
[Sun, 22 Jan 2023 16:44:01 GMT] 	 ::ffff:127.0.0.1 	 PATCH 	 /api/v1/user 	 HTTP/1.1 	 200 	 -
[Sun, 22 Jan 2023 16:44:10 GMT] 	 ::ffff:127.0.0.1 	 DELETE 	 /api/v1/user 	 HTTP/1.1 	 200 	 -
[Sun, 22 Jan 2023 17:05:29 GMT] 	 ::ffff:127.0.0.1 	 GET 	 /api/v1/auth 	 HTTP/1.1 	 401 	 -
[Sun, 22 Jan 2023 17:05:49 GMT] 	 ::ffff:127.0.0.1 	 GET 	 /api/v1/auth 	 HTTP/1.1 	 401 	 -
[Sun, 22 Jan 2023 17:06:03 GMT] 	 ::ffff:127.0.0.1 	 POST 	 /api/v1/register 	 HTTP/1.1 	 200 	 -
[Sun, 22 Jan 2023 17:06:32 GMT] 	 ::ffff:127.0.0.1 	 GET 	 /api/v1/user/all 	 HTTP/1.1 	 401 	 -
[Sun, 22 Jan 2023 17:07:17 GMT] 	 ::ffff:127.0.0.1 	 GET 	 /api/v1/user/all 	 HTTP/1.1 	 401 	 -
[Sun, 22 Jan 2023 17:09:46 GMT] 	 ::ffff:127.0.0.1 	 GET 	 /api/v1/user/all 	 HTTP/1.1 	 401 	 -
[Sun, 22 Jan 2023 17:11:42 GMT] 	 ::ffff:127.0.0.1 	 GET 	 /api/v1/auth 	 HTTP/1.1 	 200 	 -
[Sun, 22 Jan 2023 17:12:20 GMT] 	 ::ffff:127.0.0.1 	 GET 	 /api/v1/auth 	 HTTP/1.1 	 200 	 -
